Rio Grande do Norte | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2021],Total de despesas brutas empenhadas - R$ [2021],PIB per capita - R$ [2021],
Major Sales,2407252,major-salense,MARIA ELCE MAFALDO DE PAIVA FERNANDES,31.971,3924,122.74,99.5,0.617,-,32961234.61,31104738.47,11702.61,
Marcelino Vieira,2407302,marcelinense,KERLES J&Aacute;COME SARMENTO,345.711,7896,22.84,97.3,0.609,12.99,33720855.81,30576632.45,9956.78,
Martins,2407401,martinense,MARIA JOS&Eacute; DE OLIVEIRA GURGEL COSTA,169.464,8179,48.26,98.9,0.622,12.82,37919922.85,33453694.71,12308.92,
Maxaranguape,2407500,maxaranguapense,LUIS EDUARDO BENTO DA SILVA,132.129,10255,77.61,98,0.608,8.7,58624881.24,53837660.90,10609.91,
Messias Targino,2407609,messias-targinense,FRANCISCA SHIRLEY FERREIRA TARGINO,142.608,4274,29.97,97,0.644,-,33931481.39,31932679.34,11903.59,
Montanhas,2407708,montanhense,MANUEL GUSTAVO DE ARAUJO MOREIRA,82.214,11444,139.20,94.6,0.557,12.42,49929122.48,47000534.45,11667.96,
Monte Alegre,2407807,monte-alegrense,ANDRE RODRIGUES DA SILVA,211.259,23031,109.02,98.6,0.609,7.19,112646623.76,110158736.90,11959.45,
Monte das Gameleiras,2407906,monte-gameleirense,JAILTON FELIX DE PONTES,71.946,2276,31.63,98.2,0.598,71.43,24743909.05,24801483.38,15689.24,
Mossor&oacute;,2408003,mossoroense,ALLYSON LEANDRO BEZERRA SILVA,2099.334,264577,126.03,97.7,0.720,9.42,1161427984.97,1164464186.00,26570.03,
Natal,2408102,natalense,&Aacute;LVARO COSTA DIAS,167.401,751300,4488.03,96.3,0.763,10.79,3975590995.20,4217776934.00,26972.28,
N&iacute;sia Floresta,2408201,n&iacute;sia-florestense,DANIEL GURGEL MARINHO FERNANDES,307.719,31942,103.80,97.6,0.622,11.02,136855021.20,130531196.30,16794.8,
Nova Cruz,2408300,nova-cruzense,FLAVIO C&Eacute;SAR NOGUEIRA,277.658,34269,123.42,98.2,0.629,7.44,135232949.46,126651447.50,14925.2,
Olho d'&Aacute;gua do Borges,2408409,olho-d'&aacute;gua-borgense,MARIA HELENA LEITE DE QUEIROGA,141.170,3905,27.66,98.4,0.585,-,30481853.83,27001125.05,11234.48,
Ouro Branco,2408508,ouro-branquense,SAMUEL OLIVEIRA DE SOUTO,253.210,4913,19.40,96.9,0.645,19.61,33371472.51,29631215.61,12820.35,
Paran&aacute;,2408607,paranaense,JOSIENE GOMES DA SILVA ANDRADE,81.390,3934,48.34,98.9,0.589,-,28977049.18,27145714.14,10221.39,
Para&uacute;,2408706,parauense,MARIA OLIMPIA FERREIRA NUNES EUFRASIO,383.214,3579,9.34,98.4,0.603,-,26800984.36,23937110.49,14806.41,
Parazinho,2408805,parazinhense,CARLOS VERIANO DE LIMA,231.007,4801,20.78,98.7,0.549,12.2,64350692.15,48434825.60,114234.25,
Parelhas,2408904,parelhense,TIAGO DE MEDEIROS ALMEIDA,513.507,21499,41.87,98.3,0.676,4.02,91896131.93,81202600.03,17071.27,
Rio do Fogo,2408953,rio-foguense,M&Aacute;RCIO LUIZ PEREIRA BARBOSA,151.097,10351,68.51,98.8,0.569,6.67,65505354.15,58232734.55,16932.1,
Passa e Fica,2409100,passa-fiquense,FLAVIANO CORREIA LISBOA,42.137,10896,258.59,97,0.606,-,64884897.00,55947972.60,11145.41,
Passagem,2409209,passagense,DIKSON MESGRAEL BEZERRA JUNIOR,41.215,3115,75.58,98.2,0.589,-,28861544.44,26000152.29,14813.47,
Patu,2409308,patuense,RIVELINO CAMARA,319.135,11007,34.49,96.8,0.618,14.49,54909634.81,54244386.95,12511.75,
Santa Maria,2409332,santa-mariense,RANIERY SOARES CAMARA,219.570,4847,22.07,97.7,0.590,15.63,32470974.11,27504771.03,13716.38,
Pau dos Ferros,2409407,pau-ferrense,MARIANNA ALMEIDA NASCIMENTO,259.959,30479,117.25,95.5,0.678,15.67,133719953.49,123676683.90,23028.8,
Pedra Grande,2409506,pedra-grandense,PEDRO HENRIQUE DE SOUZA SILVA,221.167,3618,16.36,97.1,0.559,18.52,55453131.13,43874123.25,92723.55,
Pedra Preta,2409605,pedra-pretense,PAULO HENRIQUE BILINHO FILHO,294.985,2441,8.27,98.5,0.558,-,29331542.70,25861536.39,14934.93,
Pedro Avelino,2409704,pedro-avelinense,JOS&Eacute; ALEXANDRE SOBRINHO,952.755,6242,6.55,98.8,0.583,-,42560848.33,38414338.95,12137.15,
Pedro Velho,2409803,pedro-velhense,DEJERLANE MACEDO,192.708,13824,71.74,98.8,0.568,-,68151532.37,58745250.22,11667.15,
Pend&ecirc;ncias,2409902,pendenciano,FLAUDIVAN MARTINS CABRAL,419.137,12278,29.29,97.7,0.631,19.11,71667023.41,69748833.82,49152.82,
Pil&otilde;es,2410009,pilonense,C&Iacute;CERO SABINO NETO,82.690,2965,35.86,97.9,0.614,28.57,25585683.49,23808586.40,10725.5,
Po&ccedil;o Branco,2410108,po&ccedil;o-branquense,EDI CARLOS ALEXANDRE DE SOUZA OLIVEIRA,230.401,12390,53.78,95,0.587,13.61,56947586.22,51128973.51,8427.81,
Portalegre,2410207,portalegrense,JOSE AUGUSTO DE FREITAS REGO,110.054,7601,69.07,98.5,0.621,14.49,45178431.25,47550788.76,9936.33,
Porto do Mangue,2410256,porto-manguense,HIPOLITON SAEL HOLANDA MELO,361.237,5228,14.47,97.2,0.590,15.38,49645540.25,45929893.94,22630.26,
Serra Caiada,2410306,serra caiadense,JO&Atilde;O MARIA ANDRADE FURTADO FILHO,217.539,10125,46.54,95.4,0.563,7.58,64203539.37,60558943.08,10267.49,
Pureza,2410405,purezense,JOAO DA FONSECA MOURA NETO,504.294,9362,18.56,99.1,0.567,35.09,43058579.99,39559828.06,17244.83,
Rafael Fernandes,2410504,rafael-fernandense,FRANCISCO BRUNO FERREIRA COSTA,78.231,5432,69.44,96.3,0.608,-,17699880.47,11358824.39,10327.88,
Rafael Godeiro,2410603,rafael-godeirense,CLEVIL&Acirc;NDIA SAMARA DE VASCONCELOS BELARMINO,100.073,2934,29.32,100,0.654,-,30050026.20,24939535.80,13519.41,
Riacho da Cruz,2410702,riacho-cruzense,MARCOS AUR&Eacute;LIO DE PAIVA R&Ecirc;GO,127.223,2701,21.23,98.8,0.584,-,32219066.64,27964988.77,10281.68,
Riacho de Santana,2410801,riacho-santanense,DAVI CASSIO FERNANDES DA SILVA,128.106,4127,32.22,99.7,0.591,-,27990345.27,24592761.82,10375.2,
Riachuelo,2410900,riachuelense,JO&Atilde;O BAS&Iacute;LIO NETO,262.887,7389,28.11,96.8,0.592,-,45240423.22,44085534.11,23123.68,
Rodolfo Fernandes,2411007,rodolfo-fernandense,FRANCISCO WILTON CAVALCANTE MONTEIRO,154.840,4242,27.40,99,0.604,-,31610465.05,30311811.61,13281.03,
Tibau,2411056,tibauense,LIDIANE MARQUES DA COSTA,169.365,5382,31.78,97.8,0.635,14.49,79114036.70,76392890.11,27563.89,
Ruy Barbosa,2411106,rui-barbosense,FRANCISCO FELIPE DA SILVA,125.809,3206,25.48,98.7,0.605,-,31114422.77,24894672.71,35372.02,
Santa Cruz,2411205,santa-cruzense,IVANILDO FERREIRA LIMA FILHO,624.356,37313,59.76,95.7,0.635,9.56,141662842.62,129583104.40,15362.76,
Santana do Matos,2411403,santanense,MARIA ALICE SILVA,1422.268,12456,8.76,97.6,0.591,-,57889252.06,49334448.25,12452.57,
Santana do Serid&oacute;,2411429,santanense,HUDSON PEREIRA DE BRITO,188.403,2696,14.31,99.2,0.642,-,27847965.37,25375525.80,13469.57,
Santo Ant&ocirc;nio,2411502,santo-antoniense,RAULISON DE SENA RIBEIRO,301.082,22177,73.66,97.9,0.620,23.08,88882971.27,83583340.29,12387.88,
S&atilde;o Bento do Norte,2411601,s&atilde;o-bento-nortense,JO&Atilde;O MARIA MONTENEGRO DA SILVA,288.761,3304,11.44,98.7,0.555,22.22,41141168.33,39238029.53,204407.46,
S&atilde;o Bento do Trair&iacute;,2411700,trairiense,JOSE ARACLEIDE DE ARAUJO,190.818,3792,19.87,92.9,0.595,23.26,25126497.59,23495049.62,10047.06,
S&atilde;o Fernando,2411809,s&atilde;o-fernandense,GENILSON MEDEIROS MAIA,404.427,3492,8.63,96.8,0.608,-,30615677.97,25938591.87,17636.59,
S&atilde;o Francisco do Oeste,2411908,oestense,LUSIMAR PORFIRIO DA SILVA,75.588,4161,55.05,96.6,0.628,-,32019723.07,29645810.64,12718.54,
S&atilde;o Gon&ccedil;alo do Amarante,2412005,gon&ccedil;alense,ERALDO DANIEL DE PAIVA,249.800,115838,463.72,95.8,0.661,10.3,473153983.56,437318137.30,18157.09,
S&atilde;o Jo&atilde;o do Sabugi,2412104,sabugiense,ANIBAL PEREIRA DE ARAUJO,277.011,5956,21.50,96.9,0.655,-,33277846.15,31459831.88,13596.91,
S&atilde;o Jos&eacute; de Mipibu,2412203,mipibuense,JOS&Eacute; DE FIGUEIREDO VARELA,289.987,47286,163.06,96.3,0.611,9.63,211866046.63,195258109.10,23357.8,
S&atilde;o Jos&eacute; do Campestre,2412302,campestrense,JOSEILSON BORGES DA COSTA,341.115,11121,32.60,96.9,0.615,15.38,64290686.83,60149051.00,9696.34,
S&atilde;o Jos&eacute; do Serid&oacute;,2412401,s&atilde;o-jos&eacute;-seridoense,JACKSON DANTAS,174.505,4558,26.12,97.1,0.694,25,35395449.59,31078712.74,17856.69,
S&atilde;o Miguel,2412500,s&atilde;o-miguelense,C&Eacute;LIO GON&Ccedil;ALVES DE QUEIR&Oacute;Z,166.233,23537,141.59,96.6,0.606,12.94,111836348.07,96583508.20,13440.83,
S&atilde;o Miguel do Gostoso,2412559,gostosense,JOSE RENATO TEIXEIRA DE SOUZA,431.444,10221,23.69,98.7,0.591,13.99,84125452.13,76074591.96,47183.26,
S&atilde;o Paulo do Potengi,2412609,potengiense,EUG&Ecirc;NIO PACELLI ARA&Uacute;JO SOUTO,240.425,16786,69.82,97.9,0.622,27.4,84865476.93,78787578.33,12966.47,
S&atilde;o Pedro,2412708,s&atilde;o-pedrense,MIGUEL CABRAL NASSER,195.237,5776,29.58,97.7,0.589,18.87,32255673.09,28227285.49,9475.4,
S&atilde;o Rafael,2412807,s&atilde;o-rafaelense,RENO MARINHO DE MAC&Ecirc;DO SOUZA,469.101,7711,16.44,98.2,0.611,32.61,35590641.22,32207485.83,10836.58,
S&atilde;o Tom&eacute;,2412906,s&atilde;o-tomeense,ANTEOMAR PEREIRA DA SILVA,862.585,9972,11.56,97.2,0.585,9.9,62581989.64,63346643.52,10114.52,
S&atilde;o Vicente,2413003,s&atilde;o-vicentense,JANE MARIA SOARES DE MEDEIROS,197.817,6310,31.90,92.5,0.642,17.24,40715575.64,37065691.57,11877.99,
Senador El&oacute;i de Souza,2413102,el&oacute;i-de-souzense,MACIEL GOMES DA SILVA,152.376,5965,39.15,97.7,0.583,15.87,31168273.31,30562002.49,9806.43,
Senador Georgino Avelino,2413201,georginense,ANTONIO MARCOS FREIRE,26.100,4065,155.75,97.1,0.570,15.87,32362202.04,30714525.63,25731.61,
Serra de S&atilde;o Bento,2413300,serra-bentense,WANESSA GOMES DE MORAIS,96.628,5703,59.02,97.5,0.582,12.82,28987780.38,25158393.83,10003.6,
Serra do Mel,2413359,serrano,JOSIVAN BIBIANO DE AZEVEDO,620.241,13091,21.11,97.8,0.614,30.77,120765612.67,112120128.30,70243.25,
Serra Negra do Norte,2413409,serra-negrense-do-norte,S&Eacute;RGIO FERNANDES DE MEDEIROS,562.396,7597,13.51,95.5,0.597,-,47983649.59,42416513.67,14666.95,
